Folder,EdsFile,CIP Vendor,CIP Product Type,CIP Product Code,Revision,ProdType,ProdTypeStr,DescText,MajRev,MinRev,Catalog
DeviceNet,0001009585090400.eds,0001,149,34057,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-V6P0...
DeviceNet,0001009585090500.eds,0001,149,34057,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-V6P0...
DeviceNet,0001007E92090400.eds,0001,126,37385,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-A2P5...
DeviceNet,0001007E92090500.eds,0001,126,37385,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-A2P5...
DeviceNet,0001009592090100.eds,0001,149,37385,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A2P5...
DeviceNet,0001009592090200.eds,0001,149,37385,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-A2P5...
DeviceNet,0001009592090300.eds,0001,149,37385,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-A2P5...
DeviceNet,0001009592090400.eds,0001,149,37385,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-A2P5...
DeviceNet,0001009592090500.eds,0001,149,37385,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-A2P5...
DeviceNet,00010095A2090100.eds,0001,149,41481,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A2P5...
DeviceNet,0001007E94090400.eds,0001,126,37897,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-A4P8...
DeviceNet,0001007E94090500.eds,0001,126,37897,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-A4P8...
DeviceNet,0001009594090100.eds,0001,149,37897,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A4P8...
DeviceNet,0001009594090200.eds,0001,149,37897,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-A4P8...
DeviceNet,0001009594090300.eds,0001,149,37897,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-A4P8...
DeviceNet,0001009594090400.eds,0001,149,37897,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-A4P8...
DeviceNet,0001009594090500.eds,0001,149,37897,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-A4P8...
DeviceNet,00010095A4090100.eds,0001,149,41993,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A4P8...
DeviceNet,0001007E96090400.eds,0001,126,38409,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-A8P0...
DeviceNet,0001007E96090500.eds,0001,126,38409,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-A8P0...
DeviceNet,0001009596090100.eds,0001,149,38409,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A8P0...
DeviceNet,0001009596090200.eds,0001,149,38409,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-A8P0...
DeviceNet,0001009596090300.eds,0001,149,38409,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,3,0x1,25B-A8P0...
DeviceNet,0001009596090400.eds,0001,149,38409,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,4,0x1,25B-A8P0...
DeviceNet,0001009596090500.eds,0001,149,38409,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,5,0x1,25B-A8P0...
DeviceNet,00010095A6090100.eds,0001,149,42505,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A8P0...
DeviceNet,0001007E97090400.eds,0001,126,38665,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,4,0x1,25B-A011...
DeviceNet,0001007E97090500.eds,0001,126,38665,1.1,126,DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 22-COMM-D card in single-drive mode,5,0x1,25B-A011...
DeviceNet,0001009597090100.eds,0001,149,38665,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,1,0x3,25B-A011...
DeviceNet,0001009597090200.eds,0001,149,38665,1.1,149,HS-DSI to DeviceNet,This is an EDS file for a PowerFlex 525 via a 25-COMM-D card in single-drive mode,2,0x2,25B-A011...
